CODPAIS,CTRL,PAIS,FALTA,FBAJA
349,9,SURINAM,19000101,99999999
350,2,URUGUAY,19000101,99999999
351,9,VENEZUELA,19000101,99999999
399,8,OTROS PAÍSES DE AMÉRICA,19000101,99999999
401,9,AFGANISTÁN,19000101,99999999
402,4,ARABIA SAUDÍ,19000101,99999999
403,0,BAHRÉIN,19000101,99999999
404,5,BANGLADESH,19000101,99999999
405,8,MYANMAR,19000101,99999999
407,7,CHINA,19000101,99999999
408,3,EMIRATOS ÁRABES UNIDOS,19000101,99999999
409,6,FILIPINAS,19000101,99999999
410,0,INDIA,19000101,99999999
411,7,INDONESIA,19000101,99999999
412,2,IRAQ,19000101,99999999
413,8,IRÁN,19000101,99999999
414,3,ISRAEL,19000101,99999999
415,6,JAPÓN,19000101,99999999
416,9,JORDANIA,19000101,99999999
417,5,CAMBOYA,19000101,99999999
418,1,KUWAIT,19000101,99999999
419,4,LAOS,19000101,99999999
420,8,LÍBANO,19000101,99999999
421,5,MALASIA,19000101,99999999
422,0,MALDIVAS,19000101,99999999
423,6,MONGOLIA,19000101,99999999
424,1,NEPAL,19000101,99999999
425,4,OMÁN,19000101,99999999
426,7,PAKISTÁN,19000101,99999999
427,3,QATAR,19000101,99999999
428,9,YEMEN (SANA),19000101,19950101
429,2,YEMEN (ADEN) (FEDERACIÓN DE ARABIA DEL SUR),19000101,19950101
430,6,COREA,19000101,99999999
431,3,COREA DEL NORTE,20010702,99999999
432,8,SINGAPUR,19000101,99999999
433,4,SIRIA,19000101,99999999
434,9,SRI LANKA,19000101,99999999
435,2,TAILANDIA,19000101,99999999
436,5,TURQUÍA,19000101,99999999
437,1,VIETNAM,19000101,99999999
439,0,BRUNEI,19000101,99999999
440,4,ISLAS MARSHALL,19000101,99999999
441,1,YEMEN,19950101,99999999
442,6,AZERBAIYÁN,19950101,99999999
443,2,KAZAJSTÁN,19950101,99999999
444,7,KIRGUISTÁN,19950101,99999999
445,0,TADYIKISTÁN,19950101,99999999
446,3,TURKMENISTÁN,19950101,99999999
447,9,UZBEKISTÁN,19950101,99999999
448,5,BHUTÁN,20110618,99999999
449,8,"PALESTINA. ESTADO OBSERVADOR, NO MIEMBRO DE NACIONES UNIDAS  ",20150101,99999999
499,7,OTROS PAÍSES DE ASIA,19000101,99999999
501,8,AUSTRALIA,19000101,99999999
502,3,FIJI,19000101,99999999
504,4,NUEVA ZELANDA,19000101,99999999
505,7,PAPÚA NUEVA GUINEA,19000101,99999999
506,0,ISLAS SALOMÓN,19000101,99999999
507,6,SAMOA,19000101,99999999
508,2,TONGA,19000101,99999999
509,5,VANUATU,19000101,99999999
511,6,MICRONESIA,19000101,99999999
512,1,TUVALU,19000101,99999999
513,7,ISLAS COOK,20000101,99999999
514,2,KIRIBATI,20120210,99999999
515,5,NAURU,20000101,99999999
516,8,PALAOS,20000101,99999999
517,4,TIMOR ORIENTAL,20000101,99999999
555,6,APÁTRIDAS,19000101,99999999
599,6,OTROS PAÍSES DE OCEANÍA,19000101,99999999
966,3,ANTIGUOS TERRITORIOS DE SOBERANÍA ESPAÑOLA,19000101,99999999
999,2,NO CONSTA,19000101,99999999
